datetime,symbol,name,side,quantity,price,amount,fee
2026-07-06 07:00:00,BTC-USDT,Bitcoin,buy,0.50,61493.72,30746.86,0.0010
2026-07-06 11:20:13,BTC-USDT,Bitcoin,sell,0.50,61374.16,30687.08,0.0010
2026-07-06 07:45:00,BTC-USDT,Bitcoin,buy,0.50,61488.48,30744.24,0.0010
2026-07-06 11:24:25,BTC-USDT,Bitcoin,sell,0.50,61601.46,30800.73,0.0010
2026-07-06 07:45:00,BTC-USDT,Bitcoin,buy,0.50,61492.59,30746.29,0.0010
2026-07-06 08:52:09,BTC-USDT,Bitcoin,sell,0.50,61803.74,30901.87,0.0010
2026-07-07 08:10:00,BTC-USDT,Bitcoin,buy,0.50,61597.62,30798.81,0.0010
2026-07-07 11:49:06,BTC-USDT,Bitcoin,sell,0.50,61708.66,30854.33,0.0010
2026-07-07 07:35:00,BTC-USDT,Bitcoin,buy,0.50,61582.99,30791.49,0.0010
2026-07-07 09:50:01,BTC-USDT,Bitcoin,sell,0.50,61835.81,30917.90,0.0010
2026-07-07 07:00:00,BTC-USDT,Bitcoin,buy,0.50,61598.56,30799.28,0.0010
2026-07-07 08:26:06,BTC-USDT,Bitcoin,sell,0.50,61724.31,30862.15,0.0010
2026-07-08 09:35:00,BTC-USDT,Bitcoin,buy,0.50,61690.42,30845.21,0.0010
2026-07-08 11:08:42,BTC-USDT,Bitcoin,sell,0.50,61988.48,30994.24,0.0010
2026-07-08 08:45:00,BTC-USDT,Bitcoin,buy,0.50,61685.05,30842.53,0.0010
2026-07-08 12:20:53,BTC-USDT,Bitcoin,sell,0.50,61920.58,30960.29,0.0010
2026-07-09 08:00:00,BTC-USDT,Bitcoin,buy,0.50,61767.04,30883.52,0.0010
2026-07-09 12:53:57,BTC-USDT,Bitcoin,sell,0.50,61951.19,30975.60,0.0010
2026-07-09 08:10:00,BTC-USDT,Bitcoin,buy,0.50,61774.20,30887.10,0.0010
2026-07-09 10:45:55,BTC-USDT,Bitcoin,sell,0.50,62026.28,31013.14,0.0010
